name,price,category
간장소스,38500,소스류(상온)
치킨박스(중) 접이식,22300,종이용기
치킨박스(소) 접이식,20300,종이용기
핫양념 소스,36300,소스류(상온)
"떡볶이 떡(밀, 소) [튀김떡] 낱개",7200,밀떡
[다봄] 깐양파(중국산) BOX,21500,채소류
손질 깐대파 BOX,28900,채소류
[다봄] 세척 당근 10kg 2-3L,9790,채소류
[세현] 냉동 다진마늘,2050,채소류
냉동 다진생강,36000,채소류
마늘 가루 (마늘분),11680,야채분말
양파 가루 (양파분),12880,야채분말
[다봄] 해아람 슬라이스 김치,13480,김치류
[다봄] 스위트콘 옥수수 콘,3780,캔
[다봄] 풍조 사각 어묵 3kg 오뎅,8880,냉동수산가공식품
떡볶이 분말 (봉) 2.5kg,22000,분말류
양배추채 1kg,2500,과채가공품
콘샐러드 4kg,13333,샐러드
어묵(슬라이스) 1kg 오뎅,4000,수산가공품
두바이초콜릿 스프레드,5000,즉석식품
양배추 샐러드용 케요네즈 소스,15280,소스류(냉장)
스리라차 마요 2kg,10600,소스류(냉장)
코카콜라 패트 1.25L x 12개,20000,탄산음료
펩시 제로 패트 1.25L x 12개,16800,탄산음료
칠성사이다 패트 1.25L x 12개,18900,탄산음료
[다봄] 깐메추리알 1kg,7880,알류
카벤디쉬 케이준 양념감자 (감자튀김) BOX,53922,냉동감자튀김
볶음밥 후첨기름,16000,소스류(냉장)
"사각 양개형 조미료통, 500ml, 1개",2390,플라스틱용기
"LDPE 소스통, 680ml",1325,플라스틱용기
청양고추 소분,4000,채소류
디오 눈꽃치즈 엔젤헤어 MCF64(모짜60/체다40),20900,유가공품
대상 옥수수알파전분 15kg (구 썬프리젤),49400,녹말류
수리 타이 스리라차 칠리 5Lx3통,119400,소스
[대상] 마산 몽고 진간장 13L,19600,액체조미료
[다봄] 오뚜기 미향 18L 맛술 요리주,26500,액체조미료
[다봄] 오뚜기 양조 식초 18L,13200,액체조미료
[대상] 큐원 하얀설탕 15kg,21890,분말조미료
대상미원(S) 25kg,99450,분말조미료
CJ이츠웰 쇠고기 진한다시 25kg / CJ다시다,145990,분말조미료
[CJ] 이츠웰 옥수수 전분,24200,녹말류
[CJ] 황금찬 맥아 물엿(8Kg/EA),8100,액체조미료
[다봄] 오쉐프 마요네즈 3.2kg,10880,소스
정제염 25kg 소금,11800,분말조미료
화미 프로티지 1kg x 10,82000,분말조미료
[다봄] 포모나 요거트 파우더,9130,당류가공품
"[다봄] 베트남 고추가루 1kg (고운,매운맛) 땡초",13500,야채분말
"[다봄] 새봄 고추가루 2.5kg (중간,한식,보통맛)",22980,야채분말
"떡볶이용 고추가루 1kg (보통맛,아주고운)",103500,야채분말
서원식품 K2 순 흑후추 1kg (90%),88000,분말조미료
[다봄] 오뚜기 겨자 분말 200g,2680,향신료
쌀 20kg (무료배송),47000,곡류
[세현] CJ 굿딜 맑은 이온물엿 8kg 8kg / 통 / 7.64kg,8530,액체조미료
[세현] 스위트콘 옥수수 콘 2.95kg,3780,기타
[CJ] 오뚜기 양조식초 18L,14080,액체조미료
[세현] 오뚜기 미향 18L,26750,액체조미료
[세현] 깐메추리알 1kg,7450,알류
[CJ] 조인 깐메추리알 500g,5060,알류
깐메추리알 500g,5000,알류
[CJ] 세척당근 10kg BOX,10500,채소류
[세현] 세척당근 10kg,10850,채소류
[다봄] 청양고추,6540,기타농산물
"깨끗한나라 순수 오리지널 천연펄프 화장지 40m, 40m,",12460,위생용품
레몬주스 1L,3410,소스
특란 30알x5 (계란),30000,알류
목살 1kg (목전지),6250,육가공품
삼겹살 1kg,10000,육가공품
파스타 덮밥용기(1000ml),55500,플라스틱용기
BKSD-3칸 반찬용기,31000,플라스틱용기
"곰곰 무말랭이 무침 (냉장), 1kg, 5개",24060,무절임류
"곰곰 칼집 비엔나 소시지, 1kg, 4개",25870,육류
사세 크리스피치킨 가라아게 1kg*10EA,91000,냉동튀김류
"[다봄] 딜 10g (허브,팩,국내산)",1200,기타농산물
"탐사 펑 배수구 세정제, 2L, 6개",9990,기타
이츠웰 쇠고기 진한 다시다 2kg 소고기 조미료,11480,분말조미료
[다봄] 푸드코리아 레몬후르츠 946ml 레몬쥬스 주스,4280,소스
시아스 불맛 화유,8000,유지류
오케이 흑후추분말(기획_90% 1Kg/EA),10944,향신료
"[세현] 고추가루(고운입자/중국산) 2.5kg (김볶, 소스",20480,야채분말
중국산 고춧가루 1kg 떡볶이용 아주 고운 고추가루,11500,야채분말
고기비닐 박스비닐(두께4),17000,비닐류
덮밥 파스타용기 B1000(검정/KH),52000,플라스틱용기
[특가] BFP 반찬용기 3칸,29500,플라스틱용기
사조오양 칼집요리비엔나(1Kg/EA) [원산지: 상세설명,6050,소시지
[소분] 종이띠지520 ST-711-1 땡큐 100개 소량,4700,종이용기
청수우동다시육수 1.8L,6840,액체조미료
코우 치자슬라이스단무지 1kg,3070,무절임류
계란/대란 30알 국내산 묶음5판,28000,알류
반찬단지 양념 무말랭이무침 4kg,13280,무절임류
비닐봉투(중)-단골이 됐으면 좋겠다,33600,비닐류
곰표 고급전용분1호 밀가루 20kg,21100,밀가루
CJ 스팸 클래식 1.81kg x 6,125940,햄류
사조 참치캔(살코기 1.88Kg/EA),14600,캔
CJ 스팸 클래식 1.81kg,20990,햄류
"오뚜기 굵은순후추, 45g, 6개",14160,향신료
보성식품 말랑 쌀떡 떡볶이떡 꼬치 (튀김떡),36000,쌀떡
사조오양 칼집요리비엔나(1Kg/EA) 소시지,6050,소시지
[다봄] 한산 이온물엿 8kg,8680,액체조미료
"오뚜기 데리야끼소스, 2kg 2개",10940,소스류(상온)
아그리스토 해쉬브라운 1.28kg 11개,73920,기타
심플로트 냉동감자(해쉬브라운_64g/개 1.26Kg/EA),8400,냉동튀김류
사세 크리스피치킨 가라아게 1kg,9100,냉동튀김류
도노쉐프 피자치즈(모짜90%+고다10% 2.5Kg/EA),19900,유가공품
말통(소스통) 10L x 10개,26250,플라스틱용기
식용유 18L,40000,식용유
신영 흑후추분말 조분 400g,15000,향신료
고기 시즈닝(허브솔트) 100g,2400,분말조미료
참치마요 2.5kg,25000,수산가공품
"분리수거 비닐봉투 청색, 80L, 100개",9900,비닐류
"스팸[CJ씨제이,클래식,업소용,덕용스팸]1.81kg",20300,햄류
해표 참기름 1.8L,17980,유지류
코우 치자슬라이스단무지 1kg,3070,무절임류
HD 33호 쇼핑백 (1인분 용 작은 쇼핑백) 500장,22700,비닐류
샘표 진간장 금F3 15L,52750,액체조미료
★신규특가★ 도노프레시 눈꽃치즈(모짜60 체다40 2Kg,20460,유가공품
치킨양념 일회용 소스 25gX50개 12입 (600EA),89400,소스
[담다] 헤드온 빵가루 새우튀김 6미,3800,냉동튀김류
뿌리잇 시즈닝 1kg,16000,분말조미료
프리미엄 치즈 시즈닝 1kg,19100,분말조미료
버터갈릭 시즈닝 1kg,19100,분말조미료
핫칠리 시즈닝 1kg (핫후라이드 시즈닝),13700,분말조미료
"오뚜기 토마토 케찹 1회용, 9g, 1000개",41500,소스
슈프림 소스 2kg,10000,소스류(냉장)
차돌박이 2.5kg,40000,육가공품
핫간장소스,26950,소스류(상온)
김치볶음밥믹스 4kg,14400,과채가공품
항정살 1kg,14000,육류
산가 산도 측정지,22000,기타
설탕 15kg,21450,분말조미료
카벤디쉬 케이준 양념감자 (감자튀김) 낱개,8987,냉동감자튀김
딱돼지 로고 포장지 (포장비닐/비닐쇼핑백),154000,비닐류
지키미 팝콘만두 1kg,5990,냉동튀김류
썬리취 체다 슬라이스치즈 100매 1.8kg,17380,유가공품
