1343634,001004002,자체물류,소스류(상온),간장 소스,7kg,EA,1,,,,,26950,y,,수동발주,n,n,,,공통,y,,y,
1343635,001004003,자체물류,소스류(상온),양념 소스,7kg,EA,1,,,,,26180,y,,수동발주,n,n,,,공통,y,,y,
1343636,001004004,자체물류,소스류(상온),마라 소스,6.5kg,EA,1,,,,,32500,y,,수동발주,n,y,,,공통,y,,y,
1343637,001004005,자체물류,소스류(냉장),파채 소스,6.5kg,EA,1,,,,,25000,y,,수동발주,n,y,,,공통,y,,y,
1343638,001005001,자체물류,샐러드,콘샐러드,6kg,EA,1,,,,,20000,y,,수동발주,n,n,,,공통,y,,y,
1343639,001006001,자체물류,과채가공품,양배추채,2kg,EA,1,,,,,5000,y,,수동발주,n,n,,,공통,y,,y,
1343640,001006002,자체물류,과채가공품,김치볶음밥믹스,2.5kg,EA,1,,,,"김치: 중국산, 고추가루: 중국산",9000,y,,수동발주,n,y,,,공통,y,,y,y
1343641,001007001,자체물류,즉석식품,김치볶음밥,10,EA,1,,,,김치: 중국산,12500,y,,수동발주,y,y,,,공통,,,y,
1343642,001007002,자체물류,즉석식품,떡볶이(분말포함),10,EA,1,,,,,10600,y,,수동발주,y,n,,,공통,,,,
1343644,001002003,자체물류,분말류,떡볶이 분말,11kg,EA,1,,,,,90000,y,,수동발주,n,n,,,공통,y,,y,
1343645,001006003,자체물류,과채가공품,파채,0.06kgx10,PACK,1,,,,,3000,y,,수동발주,y,y,,,공통,y,,y,
1343646,001006004,자체물류,과채가공품,양파채,0.06kgx10,PACK,1,,,,,3000,y,,수동발주,y,y,,,공통,y,,y,
1343648,008001002,냉동식품,냉동튀김류,벨리푸드 밀크 모짜렐라 치즈볼,1.2kg,EA,3,치즈볼,y,,,16000,y,,자동발주,n,y,,,공통,y,y,y,y
1343650,008002001,냉동식품,얼음류,얼음,3kg,EA,1,,,,,4000,y,세현F&B,자동 묶음발주,n,y,,,공통,,,y,
1343651,007001001,절임식품,무절임류,훼밀리푸드 치킨무 벌크,5KG,EA,1,,,,,5750,y,훼미리푸드,수동발주,n,n,,,공통,,,y,
1343652,007001002,절임식품,무절임류,훼밀리푸드 치킨무 개별포장,170g x 60,BOX,2,치킨무,n,,,17900,y,훼미리푸드,수동발주,n,y,,,공통,y,y,y,
1343653,005004001,조미료,소스,[CJ] 오뚜기 케찹,3.3kg,EA,2,CJ프레시웨이,y,,,6000,y,쿠팡,자동 묶음발주,n,y,,3,공통,,y,,
1343654,005004002,조미료,소스,[CJ] 오쉐프 마요네즈,3.2kg,EA,2,CJ프레시웨이,y,,,10877,y,CJ프레시웨이,자동 묶음발주,n,y,,6,공통,,y,,
1343655,005004003,조미료,소스,오뚜기 골드 마요네즈,3.2kg,EA,2,기본 배송비(무료배송),n,,,12990,y,쿠팡,자동 묶음발주,n,n,4,,공통,y,,y,
1343656,005002001,조미료,분말조미료,상상 어니언갈릭 시즈닝,1kg,EA,3,상상,y,,,13700,y,,자동발주,n,y,,,공통,y,,y,
1343657,009001001,떡류,밀떡,"떡볶이 떡(밀, 소) [튀김떡] BOX",4kgx4,BOX,2,기본 배송비(무료배송),n,,,28800,y,떡뽀,자동발주,y,n,,,공통,,y,y,
1343658,009001002,떡류,쌀떡,"떡볶이 떡(쌀, 중) [떡볶이떡]",1.5kgx10,BOX,2,떡(1.5kg),n,,,31000,y,떡뽀,수동발주,y,n,,,공통,,y,,
1343659,010002001,토핑,김토핑,업소용 청해맛돌이 김가루1kg,1kg,EA,2,김가루,n,,,23400,y,다봄푸드,자동발주,n,y,,,공통,y,,y,y
1343660,005003001,조미료,가공염,치킨소금,3gx200,EA,2,치킨소금,n,,,2750,y,당장만나,자동발주,n,y,,,공통,y,,y,
